Full Name,Born,Bats,Bowls,Code
Narangoda Liyanaarachchilage Thisara Chirantha Perera,1989-03-04,Left Handed,Right Arm Medium Fast,3747
Separamadu Lasith Malinga,1983-08-28,Right Handed,Right Arm Fast Medium,3178
Balapuwaduge Ajantha Winslow Mendis,1985-11-03,Right Handed,Right Arm Off Break/Right Arm Leg Break,3545
Ranasinghe Arachchige Suranga Lakmal,1987-10-03,Right Handed,Right Arm Medium Fast,3745
Christopher Henry Gayle,1979-09-21,Left Handed,Right Arm Off Break,2217
Evin Lewis,1991-12-27,Left Handed,,4538
Shimron Odilon Hetmeyer,,Left Handed,Left Arm Wrist Spin (Chinaman),4681
Marlon Nathaniel Samuels,1981-05-02,Right Handed,Right Arm Off Break,2255
Shai Diego Hope,1993-10-11,Right Handed,,4417
Jason Omar Holder,1991-05-11,Right Handed,Right Arm Medium Fast,3998
Rovman Powell,1993-07-23,Right Handed,Right Arm Medium Fast,4605
Carlos Ricardo Brathwaite,1988-07-18,Right Handed,Right Arm Fast Medium,3908
Ashley Renaldo Nurse,1988-12-22,Right Handed,Right Arm Off Break,3859
Keemo Mandela Angus Paul,1998-02-21,Right Handed,Right Arm Fast Medium,4742
Nikita O'Brien Miller,1982-05-16,Right Handed,Left Arm Orthodox,3597
Kemar A J Roach,1988-06-30,Right Handed,Right Arm Fast Medium,3611
Nicholas Pooran,1995-02-10,Left Handed,,4587
Fabian Anthony Allen,1995-07-05,Right Handed,Left Arm Orthodox,4826
Sheldon S Cottrell,1989-08-19,Right Handed,Left Arm Fast Medium,4249
Oshane Romaine Thomas,1997-02-18,Left Handed,Right Arm Medium Fast,4822
Naveen -Ul-Haq Murid,1999-09-23,Right Handed,Right Arm Medium Fast,4590
Roston L Chase,1992-03-22,Right Handed,Right Arm Off Break,4570
Kieron A Pollard,1987-12-05,Right Handed,Right Arm Medium,3465
Romario Shepherd,1994-11-26,Right Handed,Right Arm Medium Fast,5662
Alzarri S Joseph,1996-11-20,Right Handed,Right Arm Fast Medium,4575
Hayden Rashidi Walsh,1992-04-23,Left Handed,Right Arm Leg Break,4956
Ibrahim Zadran,2001-12-12,Right Handed,Right Arm Medium Fast,5471
Hamilton Masakadza,1983-09-08,Right Handed,Right Arm Leg Break,2977
Sikandar Raza,1986-04-24,Right Handed,Right Arm Medium,4022
Brendan R M Taylor,1986-06-02,Right Handed,Right Arm Off Break,3169
Sean C Williams,1986-09-26,Left Handed,Left Arm Orthodox,3270
Malcolm Noel Waller,1984-09-28,Right Handed,Right Arm Off Break,3640
Elton Chigumbura,1986-03-14,Right Handed,Right Arm Medium,3167
Timycen Maruma,1988-04-19,Right Handed,Right Arm Leg Break,3498
Natsai M'shangwe,1991-09-02,Right Handed,Right Arm Leg Break,3918
Shingirai W Masakadza,1986-04-09,Right Handed,Right Arm Medium,3769
Tafadzwa Kamungozi,1987-08-06,Right Handed,Right Arm Leg Break,3438
Tendai Larry Chatara,1991-02-28,Right Handed,Right Arm Fast Medium,3792
C Justice Chibhabha,1986-06-09,Right Handed,Right Arm Medium,3320
Richmond Mutumbami,1989-11-06,Right Handed,Right Arm Off Break,4019
Craig Richard Ervine,1985-08-19,Left Handed,Right Arm Off Break,3780
Confidence Tinotenda Mutombodzi,1990-12-21,Right Handed,Right Arm Leg Break,4004
Luke M Jongwe,1995-06-02,Right Handed,Right Arm Medium,4319
Tendai S Chisoro,1988-12-02,Left Handed,Left Arm Fast Medium,4483
Tinashe Panyangara,1985-10-21,Right Handed,Right Arm Fast Medium,3168
Wellington Pedzisai Masakadza,1993-04-10,Left Handed,Left Arm Orthodox,4482
Peter Joseph Moor,1991-02-02,Right Handed,Right Arm Off Break,4359
Solomon Farai Mire,1989-08-21,Right Handed,Right Arm Medium Fast,4354
Tarisai Kenneth Musakanda,1994-10-31,Right Handed,Right Arm Medium,4608
Ryan Ponsonby Burl,1994-04-15,Left Handed,Right Arm Leg Break,4645
Alexander Graeme Cremer,1986-09-19,Right Handed,Right Arm Leg Break,3246
Richard Ngarava,1997-12-28,Left Handed,Left Arm Fast Medium,4646
Christopher Bobby Mpofu,1985-11-27,Right Handed,Right Arm Fast Medium,3237
Cephas Zhuwawo,1984-12-15,Right Handed,Right Arm Leg Break,3619
Brian V Vitori,1990-02-22,Left Handed,Left Arm Fast Medium,3872
Blessing Muzarabani,1996-02-10,Right Handed,Right Arm Fast Medium,4719
Taurai Muzarabani,1987-03-27,Right Handed,Right Arm Fast Medium,4459
Neville Madziva,1991-02-08,Right Handed,Right Arm Medium,4320
Kyle M Jarvis,1989-02-16,Right Handed,Right Arm Fast Medium,3733
Hannan Sarkar,1982-01-12,Right Handed,Right Arm Medium,3026
Al Sahariar Rokon,1978-04-23,Right Handed,Right Arm Leg Break,2238
Habibul Bashar,1972-08-17,Right Handed,Right Arm Off Break,2235
Alok Kapali,1984-01-12,Right Handed,Right Arm Leg Break,3031
Sanwar Hossain,1973-05-08,Right Handed,Right Arm Off Break,2861
Tushar Imran,1983-10-12,Right Handed,,2998
Khaled Mashud,1976-08-02,Right Handed,,2239
Khaled Mahmud,1971-07-26,Right Handed,Right Arm Medium,2744
Mohammad Rafique,1970-05-15,Left Handed,Left Arm Orthodox,2240
Hasibul Hussain,1977-03-06,Right Handed,Right Arm Fast Medium,2241
Javed Omar,1976-11-25,Right Handed,Right Arm Leg Break,2733
Tapash Baisya,1982-12-25,Right Handed,Right Arm Fast Medium,3032
Adam C Gilchrist,1971-11-14,Left Handed,,2192
Matthew L Hayden,1971-10-29,Left Handed,Right Arm Medium,1976
Ricky Thomas Ponting,1974-12-19,Right Handed,Right Arm Medium,2041
Damien R Martyn,1971-10-21,Right Handed,Right Arm Medium,1098
Andrew Symonds,1975-09-06,Right Handed,Right Arm Medium Fast,2907
Michael G Bevan,1970-08-05,Left Handed,Left Arm Wrist Spin (Chinaman),2002
Ian J Harvey,1972-10-04,Right Handed,Right Arm Medium,2715
George B Hogg,1971-06-02,Left Handed,Left Arm Wrist Spin (Chinaman),2068
Andrew John Bichel,1970-08-27,Right Handed,Right Arm Fast Medium,2089
Jason N Gillespie,1975-04-19,Right Handed,Right Arm Fast,2082
Brad A Williams,1974-11-20,Right Handed,Right Arm Fast Medium,3006
Shaun Edward Marsh,1983-09-07,Left Handed,Left Arm Orthodox,3561
James R Hopes,1978-10-24,Right Handed,Right Arm Medium,3273
Cameron L White,1983-08-18,Right Handed,Right Arm Leg Break,3325
Brett Geeves,1982-06-13,Right Handed,Right Arm Fast Medium,3615
Nathan W Bracken,1977-12-09,Right Handed,Left Arm Fast Medium,2640
Stuart R Clark,1975-09-28,Right Handed,Right Arm Fast Medium,3326
Mehrab Hossain,1987-08-07,Left Handed,Left Arm Orthodox,3439
Junaid Siddique,1987-10-30,Left Handed,Right Arm Off Break,3517
Mohammad Ashraful,1984-07-07,Right Handed,Right Arm Leg Break,2964
Dhiman Ghosh,1987-01-23,Right Handed,,3535
Abdur Razzak,1982-06-15,Right Handed,Left Arm Orthodox,3180
Nazmul Hossain,1987-05-10,Right Handed,Right Arm Medium Fast,3225
Shahadat Hossain,1988-07-08,Right Handed,Right Arm Medium Fast,3280
Shane R Watson,1981-06-17,Right Handed,Right Arm Fast Medium,3017
Shahriar Nafees,1986-01-25,Left Handed,,3283
Rajin Saleh,1983-11-20,Right Handed,Right Arm Off Break,3131
Aftab Ahmed,1985-10-11,Right Handed,Right Arm Medium,3224
Syed Rasel,1984-03-07,Left Handed,Left Arm Medium Fast,3323
Simon M Katich,1975-08-21,Left Handed,Left Arm Wrist Spin (Chinaman),2743
Brett Lee,1976-08-11,Right Handed,Right Arm Fast,2205
Daniel J Cullen,1984-10-04,Right Handed,Right Arm Off Break,3356
John W Hastings,1985-04-11,Right Handed,Right Arm Fast Medium,3831
Mohammad Raqibul Hasan,1987-08-10,Right Handed,Right Arm Leg Break,3537
Suhrawadi Shuvo,1988-11-21,Left Handed,Left Arm Orthodox,3771
Callum J Ferguson,1984-11-21,Right Handed,Right Arm Medium,3643
Timothy David Paine,1984-08-12,Right Handed,Right Arm Medium,3725
Azhar Hossain,1964-03-15,Right Handed,Right Arm Off Break,2623
Zahid Razzak,1967-02-08,Right Handed,,2952
Gazi Ashraf,1960-12-29,Right Handed,Right Arm Off Break,2693
Akram Khan,1968-01-11,Right Handed,Right Arm Medium,2237
Faruk Ahmed,1966-07-24,Right Handed,Right Arm Off Break,2681
Minhajul Abedin,1965-09-25,Right Handed,Right Arm Off Break,2783
Aminul Islam,1968-02-02,Right Handed,Right Arm Off Break,2236
Enamul Haque,1966-02-27,Left Handed,Left Arm Orthodox,2677
Nasir Ahmed,1964-01-01,Right Handed,,2800
Alam Talukdar,1968-04-12,Right Handed,Left Arm Medium,2607
Gholam Nousher,1964-06-10,Left Handed,Left Arm Medium,2696
Mehrab Hossain,1978-09-22,Right Handed,Right Arm Medium,2234
Naimuir Rahman,1974-09-19,Right Handed,Right Arm Off Break,2232
Manjural Islam,1979-07-11,Left Handed,Left Arm Fast Medium,2762
Mazharul Haque,1980-03-07,Right Handed,Right Arm Off Break,3046
Michael S Kasprowicz,1972-10-02,Right Handed,Right Arm Fast Medium,2076
Glenn D McGrath,1970-09-02,Right Handed,Right Arm Fast Medium,1133
Manjural Islam Rana,1984-04-05,Left Handed,Left Arm Orthodox,3143
Usman T Khawaja,1986-12-18,Left Handed,Right Arm Medium,3842
Marcus Peter Stoinis,1989-08-16,Right Handed,Right Arm Medium,4389
Alex Tyson Carey,1991-08-27,Left Handed,Left Arm Medium Fast,4726
Nathan M Coulter-Nile,1987-11-10,Right Handed,Right Arm Fast,4001
Patrick J Cummins,1993-08-05,Right Handed,Right Arm Fast,3909
Adam Zampa,1992-03-31,Right Handed,Right Arm Leg Break,4527
Geoffrey Boycott,1940-10-21,Right Handed,Right Arm Medium,218
John Hugh Edrich,1937-06-21,Left Handed,Right Arm Medium,495
Keith William Robert Fletcher,1944-05-20,Right Handed,Right Arm Leg Break,547
Basil L D'Oliveira,1931-04-10,Right Handed,Right Arm Medium,402
John H Hampshire,1941-10-02,Right Handed,,697
Michael Colin Cowdrey,1932-12-24,Right Handed,Right Arm Leg Break,375
Raymond Illingworth,1932-08-06,Right Handed,Right Arm Off Break,834
Alan P E Knott,1946-09-04,Right Handed,,952
